URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.et/core/CodeSystem/chlamydia-trachomatis-test-type-cs,0.9.0,active,,ChlamydiaTrachomatisTestTypeCS,Chlamydia trachomatis Test Type Code System,"Codes for Chlamydia trachomatis test types","ValueSet/chlamydia-trachomatis-test-type-vs"
http://fhir.et/core/CodeSystem/community-entry-point-cs,0.9.0,active,,CommunityEntryPointCS,HIV Testing for community entry point CodeSystem,"Defines entry points for community entry point","ValueSet/community-entry-point-vs"
http://fhir.et/core/CodeSystem/counselling-provided-cs,0.9.0,active,,CounsellingProvidedCS,Counselling Provided CodeSystem,"Types of counselling provided to client","ValueSet/counselling-provided-vs"
http://fhir.et/core/CodeSystem/education-status-cs,0.9.0,active,,EducationStatusCS,Ethiopia Education Status CodeSystem,"CodeSystem representing the educational status categories used in Ethiopia","ValueSet/education-status-vs"
http://fhir.et/core/CodeSystem/ethiopian-states,0.9.0,active,,EthiopiaStateCS,Ethiopia State / Region CodeSystem,"Administrative states and city administrations of Ethiopia","ValueSet/EthiopiaStateVS"
http://fhir.et/core/CodeSystem/exposure-source-cs,0.9.0,active,,ExposureSourceCS,,"","ValueSet/exposure-source-vs"
http://fhir.et/core/CodeSystem/facility-entry-point-cs,0.9.0,active,,FacilityEntryPointCS,HIV Testing for facility entry point CodeSystem,"Defines entry points for facility entry point","ValueSet/facility-entry-point-vs"
http://fhir.et/core/CodeSystem/follow-up-type-cs,0.9.0,active,,FollowUpTypeCS,Follow-Up Type Codes,"","ValueSet/follow-up-type-vs"
http://fhir.et/core/CodeSystem/gonorrhoea-specimen-type-cs,0.9.0,active,,GonorrhoeaSpecimenTypeCS,Gonorrhoea Specimen Types,"","ValueSet/gonorrhoea-specimen-type-vs"
http://fhir.et/core/CodeSystem/gonorrhoea-test-result-cs,0.9.0,active,,GonorrhoeaTestResultCS,Gonorrhoea Test Result Codes,"","ValueSet/gonorrhoea-test-result-vs"
http://fhir.et/core/CodeSystem/hiv-adherence-cs,0.9.0,active,,HIVAdherenceCS,HIV ART Adherence Code System,"Codes representing the client's adherence to ART treatment","ValueSet/hiv-adherence-vs"
http://fhir.et/core/CodeSystem/hiv-assay-number-cs,0.9.0,active,,HIVAssayNumberCS,HIV Assay Number CodeSystem,"Assay sequence in HIV testing strategy","ValueSet/hiv-assay-number-vs"
http://fhir.et/core/CodeSystem/hiv-assay-result-cs,0.9.0,active,,HIVAssayResultCS,HIV Assay Result CodeSystem,"Result of HIV assay","ValueSet/hiv-assay-result-vs"
http://fhir.et/core/CodeSystem/hiv-condition-cs,0.9.0,active,,HIVConditionCS,HIV Condition Code System,"Clinical HIV-related conditions and diagnoses","ValueSet/hiv-condition-vs"
http://fhir.et/core/CodeSystem/hiv-exposure-ways-cs,0.9.0,active,,HIVExposureWaysCS,HIV Exposure Ways CodeSystem,"Codes representing possible HIV exposure routes","ValueSet/hiv-exposure-ways-vs"
http://fhir.et/core/CodeSystem/hiv-prevention-services-cs,0.9.0,active,,HIVPreventionServicesCS,HIV Prevention Services and Referrals CodeSystem,"Prevention services offered and referrals provided","ValueSet/hiv-prevention-services-vs"
http://fhir.et/core/CodeSystem/hiv-self-test-result-cs,0.9.0,active,,HIVSelfTestResultCS,HIV Self-test Result Codes,"","ValueSet/hiv-self-test-result-vs"
http://fhir.et/core/CodeSystem/hiv-serotype-cs,0.9.0,active,,HIVSerotypeCS,HIV Serotype Codes,"Codes for HIV-1 and HIV-2","ValueSet/hiv-serotype-vs"
http://fhir.et/core/CodeSystem/hiv-status-cs,0.9.0,active,,HIVStatusCS,,"","ValueSet/hiv-status-vs"
http://fhir.et/core/CodeSystem/hiv-test-result-cs,0.9.0,active,,HIVTestResultCS,,"","ValueSet/hiv-test-result-vs"
http://fhir.et/core/CodeSystem/hiv-test-type-cs,0.9.0,active,,HIVTestTypeCS,HIV Test Type Codes,"Types of HIV tests","ValueSet/hiv-test-type-vs"
http://fhir.et/core/CodeSystem/hiv-testing-entry-point-cs,0.9.0,active,,HIVTestingEntryPointCS,HIV Testing Entry Point CodeSystem,"Defines entry points for HIV Testing Services","ValueSet/hiv-testing-entry-point-vs"
http://fhir.et/core/CodeSystem/hiv-testing-reason-cs,0.9.0,active,,HIVTestingReasonCS,HIV Testing Reason CodeSystem,"","ValueSet/hiv-testing-reason-vs"
http://fhir.et/core/CodeSystem/hiv-transmission-route-cs,0.9.0,active,,HIVTransmissionRouteCS,,"","ValueSet/hiv-transmission-route-vs"
http://fhir.et/core/CodeSystem/hsv-test-type-cs,0.9.0,active,,HSVTestTypeCS,Herpes Simplex Virus Test Type Code System,"Codes for Herpes simplex virus (HSV) test types","ValueSet/hsv-test-type-vs"
http://fhir.et/core/CodeSystem/hts-service-cs,0.9.0,active,,HTSServiceCS,HTS Service CodeSystem,"Codes for HIV Testing Services (HTS) service types.","ValueSet/hts-service-vs"
http://fhir.et/core/CodeSystem/ipv-enquiry-result-cs,0.9.0,active,,IPVEnquiryResultCS,IPV Enquiry Result CodeSystem,"Results of intimate partner violence enquiry","ValueSet/ipv-enquiry-result-vs"
http://fhir.et/core/CodeSystem/key-population-type-cs,0.9.0,active,,KeyPopulationTypeCS,Key Population Type Codes,"","ValueSet/key-population-type-vs"
http://fhir.et/core/CodeSystem/mycoplasma-genitalium-test-type-cs,0.9.0,active,,MycoplasmaGenitaliumTestTypeCS,Mycoplasma genitalium Test Type Code System,"Codes for Mycoplasma genitalium test types","ValueSet/mycoplasma-genitalium-test-type-vs"
http://fhir.et/core/CodeSystem/neisseria-gonorrhoeae-test-type-cs,0.9.0,active,,NeisseriaGonorrhoeaeTestTypeCS,Neisseria gonorrhoeae Test Type Code System,"Codes for Neisseria gonorrhoeae test types","ValueSet/neisseria-gonorrhoeae-test-type-vs"
http://fhir.et/core/CodeSystem/occupation-cs,0.9.0,active,,OccupationCS,Ethiopia Occupation CodeSystem,"CodeSystem representing the occupation categories used in Ethiopia","ValueSet/occupation-vs"
