Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-et.fhir.core.json	15332	-	0	0	0	0	0	0	17	75	0	0	0	0	0	0	0	1	0	0	0	151	208	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-education-status-cs.json	761	3	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	18	102	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ethiopian-states.json	1236	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	17	90	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-occupation-cs.json	552	3	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	15	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prefered-contact-cs.json	525	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	56	0	0	0	0	0	0
fsh-generated/resources/Patient-ETpatientEx.json	2507	3	0	0	0	0	0	0	1	563	0	0	0	0	0	0	0	0	0	0	0	15	22	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-ETPatient.json	8827	8	0	116	0	0	0	1	0	144	0	0	1	0	0	0	0	2	0	0	0	383	3564	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-address-kebele.json	1259	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	35	152	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-address-ketenagott.json	1321	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	32	140	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-address-zone.json	1231	1	0	3	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-created-date.json	1334	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	33	137	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-dob-estimated.json	1303	1	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-education-status-extension.json	1750	2	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	37	137	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ethiopian-mfr-location.json	6663	4	0	151	0	0	0	0	1	801	0	0	0	0	0	0	0	0	0	0	0	228	536	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-ethiopian-mfr-organization-affiliation.json	2769	2	0	20	0	0	1	0	0	338	0	0	0	0	0	0	0	1	0	0	0	98	241	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ethiopian-mfr-organization.json	4814	3	0	582	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	215	627	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-facility-entry-point.json	1271	1	0	11	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	32	136	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-grandfathers-family-name.json	1296	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	38	152	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-occupation.json	1676	1	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	35	159	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-preferred-contact-method.json	1875	2	0	7	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	45	171	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-reporting-hierarchy-extension.json	2550	2	0	10	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	78	207	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-reporting-hierarchy-id-extension.json	1316	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	31	136	0	0	0	1	0	0
fsh-generated/resources/ValueSet-EthiopiaStateVS.json	421	1	0	0	0	0	0	0	0	63	0	0	0	0	1	0	0	0	0	0	0	8	203	0	0	0	0	0	0
fsh-generated/resources/ValueSet-education-status-vs.json	438	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	58	0	0	0	0	0	0
fsh-generated/resources/ValueSet-gender-vs.json	583	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	8	58	0	0	0	1	0	0
fsh-generated/resources/ValueSet-marital-status-vs.json	913	1	1	0	0	0	0	0	0	1789	0	0	0	0	0	0	0	0	0	0	0	8	69	0	0	0	0	0	0
fsh-generated/resources/ValueSet-occupation-vs.json	398	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	10	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-preferred-contact-method-vs.json	376	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	4109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1706	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
